t_s,measured_voltage_A,measured_voltage_B,measured_voltage_C,tap_A,tap_B,tap_C
37,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
38,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
39,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
40,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
41,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
42,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
43,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
44,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
45,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
46,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
47,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
48,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
49,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
50,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
51,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
52,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
53,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
54,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
55,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
56,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
57,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
58,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
59,2373.22694521449-149.781736267368i,-1316.32826123773-1980.3839553678i,-1056.89868397676+2130.16569163517i,9,9,9
